"","SA","cancer","gene"
"271",0.145371504793118,"BLCA","ENSG00000065882.15"
"272",0,"BLCA","ENSG00000131043.11"
"273",0.21706777420519,"BLCA","ENSG00000142619.4"
"274",0.435886503670516,"BLCA","ENSG00000213983.11"
"275",0.0571539391351266,"BLCA","ENSG00000197565.15"
"276",0.0229466205042888,"BLCA","ENSG00000130595.17"
"277",0.531169214333647,"BLCA","ENSG00000127483.17"
"278",0,"BLCA","ENSG00000183773.15"
"279",0,"BLCA","ENSG00000006015.17"
"280",0.000276239905847997,"BLCA","ENSG00000138629.15"
"281",0.0141925413620075,"BLCA","ENSG00000134874.17"
"282",0.277416220534605,"BLCA","ENSG00000205560.12"
"283",0.000211643522596357,"BLCA","ENSG00000197879.14"
"284",0.000304962356106761,"BLCA","ENSG00000054219.10"
"285",0.132809767138629,"BLCA","ENSG00000184371.13"
"286",0,"BLCA","ENSG00000100360.14"
"287",0.00423920932411353,"BLCA","ENSG00000105426.16"
"288",0,"BLCA","ENSG00000085231.13"
"289",0,"BLCA","ENSG00000273841.4"
"290",0,"BLCA","ENSG00000137547.8"
"291",0.156692530202693,"BLCA","ENSG00000175356.12"
"292",0.00109142199991096,"BLCA","ENSG00000165029.15"
"293",0.0156156162379841,"BLCA","ENSG00000123737.12"
"294",0,"BLCA","ENSG00000108469.14"
"295",0.0573814058372075,"BLCA","ENSG00000160310.17"
"296",0,"BLCA","ENSG00000165264.10"
"297",0.000887450719449985,"BLCA","ENSG00000147799.11"
"298",0.136091315546146,"BLCA","ENSG00000198169.8"
"299",0.0915095145036488,"BLCA","ENSG00000068903.19"
"300",0,"BLCA","ENSG00000114735.9"
"301",0,"BLCA","ENSG00000168890.13"
"302",0.153733132890234,"BLCA","ENSG00000128731.15"
"303",0,"BLCA","ENSG00000167088.10"
"304",0.0896372227796688,"BLCA","ENSG00000137507.11"
"305",0,"BLCA","ENSG00000104946.12"
"306",0.404342106278908,"BLCA","ENSG00000012822.15"
"307",0.253014982340913,"BLCA","ENSG00000204560.9"
"308",0.00947873333915855,"BLCA","ENSG00000185813.10"
"309",0.00762314377343407,"BLCA","ENSG00000076685.18"
"310",0,"BLCA","ENSG00000162244.10"
"311",0.142885645765631,"BLCA","ENSG00000019102.11"
"312",0.00200374036672063,"BLCA","ENSG00000148840.10"
"313",0.00555648460624926,"BLCA","ENSG00000170871.11"
"314",0,"BLCA","ENSG00000275464.4"
"315",0.0411720079805879,"BLCA","ENSG00000143418.19"
"316",0,"BLCA","ENSG00000117226.11-ENSG00000117228.9"
"317",0.0267068109480631,"BLCA","ENSG00000173486.12"
"318",0,"BLCA","ENSG00000105668.7"
"319",0,"BLCA","ENSG00000106258.13-ENSG00000160870.12"
"320",0,"BLCA","ENSG00000106258.13-ENSG00000282301.1"
"321",0.0932926276879551,"BLCA","ENSG00000106258.13-ENSG00000160868.14"
"322",0,"BLCA","ENSG00000160870.12-ENSG00000160868.14"
"323",0.00179411637100881,"BLCA","ENSG00000124496.12"
"324",0,"BLCA","ENSG00000119689.14"
"325",0.0139141989452749,"BLCA","ENSG00000122026.10"
"326",0,"BLCA","ENSG00000039523.19"
"327",0.195919496123631,"BLCA","ENSG00000163882.9"
"328",0,"BLCA","ENSG00000260007.2"
"329",0,"BLCA","ENSG00000129007.14-ENSG00000128973.12"
"330",0.121145340817319,"BLCA","ENSG00000100319.12"
"331",0,"BLCA","ENSG00000141905.17"
"332",0.0518462870978863,"BLCA","ENSG00000083750.12"
"333",0,"BLCA","ENSG00000181061.13"
"334",0,"BLCA","ENSG00000280571.1"
"335",0.00943174027432785,"BLCA","ENSG00000049323.15"
"336",0.0130933707319886,"BLCA","ENSG00000125733.17"
"337",0.0186714887632454,"BLCA","ENSG00000060339.13"
"338",0.0767266519119559,"BLCA","ENSG00000136783.9-ENSG00000165028.11"
"339",0.058857073219001,"BLCA","ENSG00000095713.13"
"340",0,"BLCA","ENSG00000125844.15"
"341",0.000743087233177529,"BLCA","ENSG00000068305.17"
"342",0,"BLCA","ENSG00000105865.10-ENSG00000075790.10"
"343",0,"BLCA","ENSG00000241962.9"
"344",0.0463817572145176,"BLCA","ENSG00000130517.13"
"345",0.0163992196661474,"BLCA","ENSG00000172239.13"
"346",0.282432900033054,"BLCA","ENSG00000167447.12"
"347",0.0628336070246728,"BLCA","ENSG00000074964.16"
"348",0.00138292117226369,"BLCA","ENSG00000137955.15"
"349",0.00121211572445333,"BLCA","ENSG00000163374.19-ENSG00000116580.18"
"350",0.0134915858386338,"BLCA","ENSG00000205629.11"
"351",0.0279109901471397,"BLCA","ENSG00000284505.1"
"352",0.196085259026708,"BLCA","ENSG00000028310.17"
"353",0,"BLCA","ENSG00000127527.13"
"354",0,"BLCA","ENSG00000076513.16"
"355",0.00515023754037965,"BLCA","ENSG00000066135.12"
"356",0.00164752123378525,"BLCA","ENSG00000152492.13"
"357",0,"BLCA","ENSG00000119421.6"
"358",0.312543602489364,"BLCA","ENSG00000198130.15"
"359",0.364648253192526,"BLCA","ENSG00000182670.13"
"360",0,"BLCA","ENSG00000178585.14"
"361",0.00195105540599651,"BLCA","ENSG00000072609.17"
"362",0.134877994945734,"BLCA","ENSG00000147955.16"
"363",0.000544604507055387,"BLCA","ENSG00000083093.9"
"364",0.0248252625116558,"BLCA","ENSG00000065357.19"
"365",0,"BLCA","ENSG00000114529.12"
"366",0,"BLCA","ENSG00000213928.8"
"367",0.643151543719209,"BLCA","ENSG00000090273.13"
"368",0.682746627530043,"BLCA","ENSG00000163346.16"
"369",0,"BLCA","ENSG00000169220.17"
"370",0,"BLCA","ENSG00000016864.18"
"371",0,"BLCA","ENSG00000123415.15"
"372",0.00813081913569048,"BLCA","ENSG00000168758.10"
"373",0,"BLCA","ENSG00000227471.8"
"374",0.0103554748333708,"BLCA","ENSG00000214265.11"
"375",0.0310664245001123,"BLCA","ENSG00000273173.5"
"376",0.00357483622929413,"BLCA","ENSG00000136104.19"
"377",0.210672274129428,"BLCA","ENSG00000204520.12"
"378",0,"BLCA","ENSG00000150991.14"
"379",0.00213864691214809,"BLCA","ENSG00000154889.16"
"380",0.29301449456493,"BLCA","ENSG00000166295.8"
"381",0.0265826762568223,"BLCA","ENSG00000198242.13"
"382",0.254689917282075,"BLCA","ENSG00000168894.9"
"383",0,"BLCA","ENSG00000196214.10-ENSG00000198464.13"
"384",0,"BLCA","ENSG00000198464.13-ENSG00000167554.14"
"385",0.203760862856483,"BLCA","ENSG00000169660.15"
"386",0.0323534448696572,"BLCA","ENSG00000100321.14"
"387",0.218012572650639,"BLCA","ENSG00000124942.13"
"388",0,"BLCA","ENSG00000111540.15"
"389",0.235635842781773,"BLCA","ENSG00000071243.15"
"390",0.219135636543224,"BLCA","ENSG00000185187.12"
"391",0,"BLCA","ENSG00000007866.19"
"392",0.259129291607246,"BLCA","ENSG00000154229.11"
"393",0.000882656581243496,"BLCA","ENSG00000170667.14"
"394",0.000892469530406668,"BLCA","ENSG00000105808.17"
"395",0,"BLCA","ENSG00000205236.6"
"396",0,"BLCA","ENSG00000144381.16"
"397",0.129527133567319,"BLCA","ENSG00000100994.11"
"398",0.0618020747889847,"BLCA","ENSG00000153201.15"
"399",0.469717909790785,"BLCA","ENSG00000126226.21"
"400",0.262976829478056,"BLCA","ENSG00000137944.17"
"401",0.083436380918315,"BLCA","ENSG00000267645.5"
"402",0,"BLCA","ENSG00000086200.16"
"403",0.167990845660658,"BLCA","ENSG00000065029.14"
"404",0.000449893159683562,"BLCA","ENSG00000129566.12"
"405",0,"BLCA","ENSG00000100379.17"
"406",0,"BLCA","ENSG00000266086.1-ENSG00000136450.12"
"407",0.0237674029922229,"BLCA","ENSG00000160284.14"
"408",0.394562120330944,"BLCA","ENSG00000134138.19"
"409",0.0561549616079083,"BLCA","ENSG00000188026.12"
"410",0.142110190438222,"BLCA","ENSG00000196605.7"
"411",0.00373364870351195,"BLCA","ENSG00000135636.13"
"412",0.0267084772335771,"BLCA","ENSG00000244067.2-ENSG00000243955.5"
"413",0,"BLCA","ENSG00000244067.2-ENSG00000174156.14"
"414",0.0520524738304443,"BLCA","ENSG00000243955.5"
"415",0.00105446527199599,"BLCA","ENSG00000107104.18"
"416",0.0097855302836672,"BLCA","ENSG00000166333.13"
"417",0.271730830929183,"BLCA","ENSG00000132824.13"
"418",0.270971489964472,"BLCA","ENSG00000168958.19"
"419",0.0749023562328425,"BLCA","ENSG00000114626.17"
"420",0,"BLCA","ENSG00000049540.16"
"421",0.000783823152070633,"BLCA","ENSG00000134775.15"
"422",0,"BLCA","ENSG00000134452.19"
"423",0.00637349712031867,"BLCA","ENSG00000088367.21"
"424",0.00118117560614749,"BLCA","ENSG00000132950.18"
"425",0.283034360101573,"BLCA","ENSG00000141258.12"
"426",0.0200545231202659,"BLCA","ENSG00000144401.14"
"427",0,"BLCA","ENSG00000215375.6"
"428",0.0452878622653769,"BLCA","ENSG00000074416.13"
"429",0.266244057647813,"BLCA","ENSG00000163703.17"
"430",0.0042372495790156,"BLCA","ENSG00000162086.14"
"431",0,"BLCA","ENSG00000213339.8"
"432",0.0278293338861819,"BLCA","ENSG00000184719.11"
"433",0,"BLCA","ENSG00000169679.14"
"434",0.0128980382403699,"BLCA","ENSG00000197965.11"
"435",0.00147961623184011,"BLCA","ENSG00000094914.12"
"436",0,"BLCA","ENSG00000186625.13"
"437",0.00181940069619273,"BLCA","ENSG00000259431.5"
"438",0,"BLCA","ENSG00000178935.5-ENSG00000173480.10"
"439",0,"BLCA","ENSG00000178935.5-ENSG00000269476.1"
"440",0,"BLCA","ENSG00000173480.10-ENSG00000196724.12"
"441",0,"BLCA","ENSG00000158019.20"
"442",0,"BLCA","ENSG00000120509.10"
"443",0,"BLCA","ENSG00000258691.1"
"444",0.0939435756609297,"BLCA","ENSG00000173041.11"
"445",0.207282810083756,"BLCA","ENSG00000130202.9"
"446",0.159712182216605,"BLCA","ENSG00000154710.16"
"447",0.00653108236026689,"BLCA","ENSG00000167515.10"
"448",0,"BLCA","ENSG00000007080.10"
"449",0.171344543522212,"BLCA","ENSG00000163069.12"
"450",0.11265115144632,"BLCA","ENSG00000151376.16"
"451",0.0755759279520363,"BLCA","ENSG00000173821.19"
"452",0,"BLCA","ENSG00000137033.11"
"453",0,"BLCA","ENSG00000265190.6"
"454",0,"BLCA","ENSG00000171148.13"
"455",0.00171190354173911,"BLCA","ENSG00000164808.16"
"456",0,"BLCA","ENSG00000183401.11"
"457",0,"BLCA","ENSG00000102738.7"
"458",0,"BLCA","ENSG00000171431.3"
"459",0,"BLCA","ENSG00000050393.11"
"460",0.0433067140624303,"BLCA","ENSG00000242485.5"
"461",0.00682754508130918,"BLCA","ENSG00000099991.17"
"462",0.194432071916992,"BLCA","ENSG00000067141.16"
"463",0,"BLCA","ENSG00000124067.16"
"464",0.561963574369515,"BLCA","ENSG00000165102.14"
"465",0,"BLCA","ENSG00000211454.13-ENSG00000162482.4"
"466",0,"BLCA","ENSG00000162482.4"
"467",0,"BLCA","ENSG00000162482.4-ENSG00000053371.12"
"468",0,"BLCA","ENSG00000119801.12"
"469",0.000519745996619192,"BLCA","ENSG00000115677.16"
"470",0.0263751346050058,"BLCA","ENSG00000117625.13"
"471",0.112715507245975,"BLCA","ENSG00000197111.15"
"472",0.0107120773252114,"BLCA","ENSG00000126216.13"
