"","TCGA_subtype","immune_cell_type","tau","pvalue"
"187","LIHC","T.cells.gamma.delta","0.0711152714424148","0.520390774761889"
"188","LIHC","NK.cells.resting","0.1364684324137","0.226011589401773"
"189","LIHC","NK.cells.activated","-0.0189091359160134","0.841880134933279"
"190","LIHC","Monocytes","0.0916365817468343","0.333666485082971"
"191","LIHC","Macrophages.M0","0.0328742907259382","0.733697856825226"
"192","LIHC","Macrophages.M1","-0.156748911465893","0.0975453957598908"
"193","LIHC","Macrophages.M2","0.0478955007256894","0.61266965769294"
"194","LIHC","Dendritic.cells.resting","-0.0898818754579711","0.367716843893317"
"195","LIHC","Dendritic.cells.activated","-0.0408899546217591","0.715524970196926"
"196","LIHC","Mast.cells.resting","0.0617701163479213","0.518220985511154"
"197","LIHC","Mast.cells.activated","0.0675312790430704","0.53595328215289"
"198","LIHC","Eosinophils","0.164371453629691","0.150381572635456"
"199","LIHC","Neutrophils","0.0222884573706918","0.829846883890319"
"200","LUAD","B.cells.naive","-0.0166552875837247","0.61454658786207"
"201","LUAD","B.cells.memory","-0.0276315328399476","0.455547638619365"
"202","LUAD","Plasma.cells","-0.0129411998177259","0.694972243314785"
"203","LUAD","T.cells.CD8","-0.0440239316149649","0.182008777844235"
"204","LUAD","T.cells.CD4.naive","-0.0112088862368509","0.780645358283604"
"205","LUAD","T.cells.CD4.memory.resting","0.0199009160824069","0.547559909906353"
"206","LUAD","T.cells.CD4.memory.activated","-0.0228841130106037","0.538567370677849"
"207","LUAD","T.cells.follicular.helper","-0.0401629422341068","0.223799148002232"
"208","LUAD","T.cells.regulatory..Tregs.","-0.00821825401959611","0.80706884569217"
"209","LUAD","T.cells.gamma.delta","-0.0419053174253241","0.291070821948241"
"210","LUAD","NK.cells.resting","0.0369729382521851","0.315110235148144"
"211","LUAD","NK.cells.activated","-0.0682435681861544","0.0411764904818421"
"212","LUAD","Monocytes","0.0795710652247919","0.0165784050314149"
"213","LUAD","Macrophages.M0","0.00340161221128388","0.919973987079041"
"214","LUAD","Macrophages.M1","-0.0523567228299643","0.114234937036955"
"215","LUAD","Macrophages.M2","0.0821581272293483","0.0127434892033419"
"216","LUAD","Dendritic.cells.resting","0.000356064826141525","0.991785776671758"
"217","LUAD","Dendritic.cells.activated","-0.0344990022007915","0.314416829286665"
"218","LUAD","Mast.cells.resting","-0.0288320052781616","0.387889604777663"
"219","LUAD","Mast.cells.activated","0.0231414382001109","0.541004476873513"
"220","LUAD","Eosinophils","-0.0142497583569494","0.720076708978294"
"221","LUAD","Neutrophils","0.0578229986034913","0.0969795911230186"
"222","LUSC","B.cells.naive","0.0164669692938697","0.637928952704457"
"223","LUSC","B.cells.memory","-0.0882327612642769","0.0269772676828522"
"224","LUSC","Plasma.cells","-0.0952318173441009","0.00624975575756821"
"225","LUSC","T.cells.CD8","0.0223101149930418","0.521727919487917"
"226","LUSC","T.cells.CD4.naive","-0.0483015190879123","0.248418984528712"
"227","LUSC","T.cells.CD4.memory.resting","0.0233475200513492","0.508429391066131"
"228","LUSC","T.cells.CD4.memory.activated","0.0120252517375426","0.753557739529299"
"229","LUSC","T.cells.follicular.helper","-0.0129421531590512","0.710582119922321"
